rt_name,perplexity,instability_index,gravy,t40_raw,t45_raw,t50_raw,t55_raw,t60_raw,t65_raw,t70_raw,t75_raw,t80_raw,thermophilicity_num,triad_found_bin,D1_D2_dist,D2_D3_dist,triad_best_rmsd,hydrophobic_per_res,salt_per_res,hbonds_per_res,pocket_hydrophobic_per_res,pocket_hbonds_per_res,whole_mean_hydrophobicity,whole_std_hydrophobicity,yxdd_hydrophobic_fraction,yxdd_mean_hydrophobicity,hairpin_pass,yxdd_y_is_strand,yxdd_x_is_turn,yxdd_d1_is_turn,yxdd_d2_is_strand,foldseek_best_TM,foldseek_best_LDDT,foldseek_best_fident,foldseek_TM_HIV1,foldseek_TM_MMLV,foldseek_TM_MMLVPE,foldseek_TM_Retron,foldseek_TM_LTRRetrotransposon,foldseek_TM_Group2Intron,foldseek_TM_Telomerase,rt_family,seq_length,log_likelihood,net_charge,camsol,helix_beta_ratio,yxdd_std_hydrophobicity,n_residues,sasa_per_res,apolar_ratio,mean_rsasa,pocket_mean_rsasa,nterm_avg_sasa,rama_fav,rama_out,hairpin_confidence,yxdd_seq,overall_mean_pot,fingers_mean_pot,motif12_mean_pot,lpqg_sp_3A_mean_pot,yxdd_5A_mean_pot,palm_mean_pot,thumb_mean_pot,connection_mean_pot
FoxC-RT,16.93254089,50.1431749,-0.501330798,0.6275,0.7279,0.6568,0.7672,0.6196,0.6796,0.6181,0.6071,0.3949,3,1.0,26.5813,3.7864,17.6936,0.363,0.019,1.574,0.391,0.478,-0.5013,3.0837,0.5789,1.0316,1,1.0,1.0,1.0,1.0,0.785,0.572,0.167,0.6369,0.6153,0.579,0.7462,0.4727,0.785,0.6137,LTR_Retrotransposon,526,-2.829237223,24,0.368092,0.939086294,2.5795,526.0,69.36019011,0.563,0.3337,0.0787,119.72,84.5,1.1,0.677,YADD,9.4745,12.4448,22.4714,23.3647,-3.1791,9.294,5.5292,
FuRT-Cas1-RT,8.801057816,44.68291667,-0.37125,0.5879,0.5006,0.5124,0.629,0.6386,0.25,0.2387,0.1557,0.01713,2,0.0,,,,0.467,0.0292,1.55,0.0,0.0,-0.3713,3.2801,,,1,0.0,0.0,0.0,0.0,0.9591,0.8716,0.315,0.7017,0.6888,0.7105,0.8485,0.674,0.9591,0.807,CRISPR-associated,240,-2.174871922,-2,1.013978,0.81443299,,240.0,57.66204167,0.529,0.276,0.0,112.56,95.5,0.4,0.659,,-0.1282,2.3308,12.4422,10.9865,,-2.5362,,
GALV-RT,3.365677357,49.43628319,-0.297050147,0.6774,0.8036,0.792,0.9138,0.83,0.932,0.8963,0.4574,0.27,2,1.0,6.1537,3.8366,0.1635,0.535,0.0295,1.326,0.75,0.542,-0.2971,3.0278,0.6,1.095,1,1.0,1.0,1.0,1.0,0.98,0.8638,0.709,0.9775,0.98,0.958,0.771,0.5934,0.6547,0.5284,Retroviral,678,-1.213629246,17,0.495113,0.94,3.0534,678.0,52.16845133,0.563,0.2661,0.1159,134.62,91.9,0.2,0.75,YVDD,6.0451,6.5025,11.7855,6.0121,-4.8228,5.3603,12.616,8.9024
Gate-RT,7.586501598,49.87839388,-0.322562141,0.6693,0.7849,0.6093,0.711,0.6915,0.59,0.7767,0.7928,0.9083,3,1.0,5.565,3.7966,0.1466,0.499,0.0382,1.423,0.35,0.5,-0.3226,3.1199,0.625,1.0562,1,1.0,1.0,1.0,1.0,0.7963,0.5471,0.083,0.7896,0.7963,0.7584,0.5797,0.4887,0.4991,0.5086,LTR_Retrotransposon,523,-2.026370525,15,-0.152451,0.808290155,3.0947,523.0,52.95219885,0.54,0.259,0.1581,137.57,93.5,0.4,0.765,YVDD,6.0862,12.3437,9.2052,10.5578,-10.1007,4.382,1.954,
GroupII_CLA-RT,3.761259079,43.88205882,-0.314052288,0.1962,0.1994,0.2189,0.09822,0.07668,0.008477,0.007083,0.0007719,0.0001335,0,1.0,24.6144,3.8458,16.3908,0.533,0.0196,1.516,0.333,0.762,-0.3141,3.0478,0.5294,0.7882,0,1.0,1.0,1.0,1.0,0.8896,0.7175,0.274,0.6498,0.6519,0.3071,0.8492,0.6637,0.8896,0.7855,Group_II_Intron,306,-1.324753761,18,0.969733,0.925233645,2.8292,306.0,56.98611111,0.545,0.279,0.1475,122.48,90.7,0.7,,YADD,8.3023,14.0844,15.41,10.5299,-5.5344,-1.3075,-9.4671,
Gs-RT,2.172810078,40.56778043,-0.484725537,0.9285,0.9081,0.8373,0.6836,0.4258,0.2119,0.1345,0.0009729,0.0003788,2,1.0,7.3619,3.7635,0.9461,0.568,0.0329,1.84,0.333,0.619,-0.4847,3.2182,0.6667,0.7889,1,1.0,1.0,1.0,1.0,0.9872,0.8957,0.921,0.6857,0.6894,0.5786,0.8197,0.6233,0.9872,0.7271,Group_II_Intron,419,-0.776021183,34,1.319949,0.826923077,2.939,426.0,52.39276995,0.504,0.2587,0.0933,104.7,95.3,0.5,0.699,YADD,16.0363,11.2814,21.5456,18.9661,7.2848,12.3884,23.807,
Gypsy-RT,6.497917175,36.53840085,-0.337953092,0.3662,0.4486,0.3827,0.4648,0.4058,0.4903,0.5669,0.4889,0.2293,1,1.0,6.8615,3.8317,0.6998,0.516,0.0256,1.377,0.542,0.583,-0.338,3.1405,0.65,1.605,1,1.0,1.0,1.0,1.0,0.9165,0.7387,0.234,0.9165,0.893,0.87,0.6704,0.578,0.666,0.5496,LTR_Retrotransposon,469,-1.871481657,10,0.272462,0.805714286,2.8512,469.0,53.13799574,0.542,0.2631,0.1338,143.22,91.7,0.5,0.685,YVDD,6.1378,4.9262,8.7002,10.6891,-1.5637,4.5948,7.7296,9.2733
HIVpol+MMLVRNaseH_RT,1.94649744,35.14368,-0.536,0.8315,0.7783,0.6348,0.6575,0.4726,0.8507,0.8198,0.7004,0.3401,1,1.0,6.0938,3.8139,0.3012,0.413,0.0368,1.277,0.2,0.5,-0.536,3.0448,0.4375,0.4687,1,1.0,1.0,1.0,1.0,0.8619,0.7047,0.245,0.8552,0.8619,0.7543,0.6268,0.7273,0.6229,0.6296,Retroviral,625,-0.666031539,4,0.841852,0.94092827,2.9649,625.0,58.362848,0.572,0.2921,0.1555,133.54,88.1,0.2,0.71,YMDD,3.4084,8.9358,19.5288,9.081,-5.625,3.2173,0.9584,0.1959
IPMA-RT,8.778963089,44.86369983,-0.028272251,0.8109,0.7652,0.5382,0.63,0.4903,0.6964,0.8514,0.8539,0.7748,1,1.0,5.95,3.8417,0.1798,0.618,0.007,1.319,0.636,0.455,-0.0283,3.1045,0.7222,2.0389,1,1.0,1.0,1.0,1.0,0.932,0.7586,0.322,0.932,0.9229,0.8176,0.6575,0.6825,0.6621,0.5487,Retroviral,573,-2.172358274,8,-1.285191,0.735930736,2.7256,573.0,52.63673647,0.557,0.2699,0.1347,135.98,93.2,0.2,0.85,YMDD,2.2456,-0.0592,15.6875,9.2985,-13.8918,-0.6378,7.901,9.1138
KORV-RT,3.503685951,42.93303835,-0.321238938,0.6555,0.7753,0.7533,0.8986,0.7852,0.9118,0.8744,0.4211,0.2591,2,1.0,6.1211,3.8346,0.1676,0.529,0.0251,1.344,0.75,0.542,-0.3212,3.0285,0.6,1.095,1,1.0,1.0,1.0,1.0,0.9793,0.8711,0.725,0.9763,0.9793,0.9544,0.7787,0.5922,0.6573,0.5441,Retroviral,678,-1.253815532,14,0.49773,0.959349593,3.0534,678.0,53.23458702,0.561,0.2692,0.1146,135.22,93.1,0.3,0.75,YVDD,4.6113,3.9038,11.9113,-0.3418,-11.344,2.7891,15.4929,3.6078
Line1-RT,2.833806515,36.6076699,-0.545995146,0.3972,0.2889,0.18,0.2937,0.2675,0.4359,0.3731,0.6718,0.1392,1,0.0,,,,0.53,0.0461,1.709,0.462,0.538,-0.546,3.2198,,,1,,,,,0.8217,0.5102,0.151,0.7384,0.7411,0.6376,0.8133,0.4634,0.8217,0.5915,Unknown,824,-1.041620851,49,0.999437,0.880733945,,824.0,51.82610437,0.534,0.25,0.0794,143.56,70.2,4.4,0.77,FADD,15.9538,15.0247,11.3093,26.2739,,15.1709,18.8393,
LtrA-RT,3.097157717,47.08428094,-0.566722408,0.6299,0.593,0.3479,0.3417,0.2994,0.07798,0.05383,0.02043,0.002234,2,1.0,11.0467,3.8278,7.4928,0.41,0.0368,1.577,0.391,0.609,-0.5667,3.1581,0.6316,1.1842,1,1.0,1.0,1.0,1.0,0.8714,0.648,0.236,0.6891,0.6958,0.5848,0.8299,0.4786,0.8714,0.7302,Group_II_Intron,598,-1.130484819,40,0.891731,0.901345291,2.9328,598.0,55.24896321,0.536,0.2633,0.0876,110.56,92.1,0.2,0.736,YADD,13.1949,11.8416,-1.0907,13.8612,4.0436,8.3773,16.6621,
MMLV-RT,3.448884964,40.50723781,-0.318759232,0.4015,0.5095,0.4388,0.7279,0.4331,0.7857,0.7463,0.1474,0.05789,1,1.0,6.1134,3.7832,0.2072,0.535,0.031,1.406,0.72,0.6,-0.3188,2.995,0.5714,0.8905,1,1.0,1.0,1.0,1.0,0.9843,0.884,0.972,0.9792,0.9843,0.9615,0.71,0.5897,0.6592,0.491,Retroviral,677,-1.238050938,5,0.780471,0.995951417,3.1171,677.0,49.96398818,0.563,0.257,0.1285,138.07,91.9,0.3,0.75,YVDD,3.9051,5.3065,9.229,2.6192,-10.4784,-3.5245,11.9136,4.8725
MMTV-RT,8.584270477,52.12584437,-0.272847682,0.5207,0.5241,0.402,0.5738,0.4318,0.7809,0.8708,0.8727,0.779,1,1.0,5.8389,3.8256,0.411,0.551,0.0348,1.353,0.545,0.5,-0.2728,3.1403,0.6667,1.6389,1,1.0,1.0,1.0,1.0,0.867,0.707,0.248,0.8624,0.867,0.7277,0.6995,0.6603,0.5597,0.5464,Retroviral,604,-2.149931431,6,-0.568116,0.724,2.9956,604.0,56.19043046,0.561,0.2789,0.098,134.11,89.2,0.9,0.85,YMDD,0.3122,1.0547,14.5609,6.1774,-17.101,-1.824,9.8486,-1.6723
MPMV-RT,8.656078339,37.55570983,-0.104680187,0.2266,0.2055,0.07849,0.3219,0.1082,0.2857,0.5743,0.5304,0.2312,1,1.0,5.8871,3.8126,0.2117,0.523,0.014,1.292,0.455,0.455,-0.1047,3.0537,0.6111,1.25,1,1.0,1.0,1.0,1.0,0.9226,0.7428,0.289,0.9226,0.9133,0.8448,0.6907,0.6666,0.6095,0.5617,Retroviral,641,-2.158261776,7,-1.119678,0.82,3.1812,641.0,56.35444618,0.582,0.2907,0.1138,116.95,88.1,1.1,0.85,YMDD,2.4898,0.5832,14.8411,8.8114,-16.5554,0.687,4.3308,2.6733
Med-CasRT,9.759672165,39.55691318,-0.538585209,0.02335,0.01206,0.005841,0.005216,0.0005625,0.0002317,0.00018,8.342e-05,3.193e-05,0,1.0,11.7362,3.8473,7.0304,0.444,0.0547,1.524,0.261,0.609,-0.5386,3.0828,0.4737,0.4632,1,1.0,1.0,1.0,1.0,0.9118,0.7886,0.274,0.7043,0.699,0.6731,0.8261,0.5437,0.9118,0.7207,CRISPR-associated,311,-2.278258801,-11,1.259983,0.990909091,3.066,311.0,60.70524116,0.517,0.3009,0.0996,145.07,87.7,0.4,0.652,YADD,-3.4352,0.8252,-0.8038,14.4157,-10.5477,-9.0296,-6.7881,
Mx65-RT,4.748226166,53.71197183,-0.393661972,0.3416,0.1886,0.149,0.1309,0.07797,0.03354,0.0153,0.0003632,0.0006996,0,1.0,8.7186,3.8572,4.7174,0.378,0.0352,1.516,0.25,0.55,-0.3937,3.1483,0.4375,0.4562,0,1.0,1.0,1.0,1.0,0.9106,0.7119,0.255,0.6755,0.671,0.6691,0.9106,0.4551,0.7996,0.5511,Retron,426,-1.557771087,37,1.389092,0.896103896,3.0375,426.0,65.77161972,0.557,0.3309,0.1023,121.78,88.3,1.6,,YADD,12.6287,12.0966,15.8272,12.174,0.5732,12.7148,10.2474,
Ne144-RT,6.025179863,50.38538012,-0.502339181,0.1224,0.04609,0.03454,0.006662,0.008527,0.004032,0.001673,0.0001317,0.0006418,0,1.0,8.7514,3.848,4.8067,0.37,0.0351,1.513,0.158,0.632,-0.5023,3.0714,0.4,0.2333,1,1.0,1.0,1.0,1.0,0.8742,0.6733,0.292,0.7101,0.7142,0.5603,0.8742,0.512,0.7517,0.655,Retron,513,-1.795947313,31,1.948546,1.235294118,3.0077,513.0,69.93019493,0.572,0.3581,0.1064,125.93,86.9,0.9,0.484,YADD,9.4923,9.9583,17.057,7.3692,-1.2856,9.6784,11.5485,
Ngaro-RT,9.827791214,48.51180828,0.146840959,0.7515,0.8124,0.665,0.8403,0.698,0.8602,0.8399,0.9027,0.7117,3,0.0,,,,0.599,0.0218,1.399,0.0,0.0,0.1468,3.0492,,,1,0.0,0.0,0.0,0.0,0.8599,0.6699,0.172,0.852,0.8599,0.6979,0.7047,0.6527,0.7273,0.5475,LTR_Retrotransposon,459,-2.285214186,2,-1.202845,0.754098361,,459.0,51.73309368,0.598,0.2628,0.0,132.6,90.4,0.2,0.782,,1.5987,2.8117,2.7314,9.4863,,-2.0086,6.7925,-2.0288
PERV-RT,3.110849857,40.87271364,-0.253973013,0.6367,0.7893,0.7123,0.8785,0.7515,0.9104,0.8661,0.3027,0.1252,2,1.0,6.0544,3.8099,0.1275,0.543,0.0225,1.355,0.72,0.64,-0.254,3.0469,0.5714,0.981,1,1.0,1.0,1.0,1.0,0.9791,0.8628,0.752,0.9757,0.9791,0.9562,0.7661,0.5978,0.657,0.5005,Retroviral,667,-1.134895921,12,0.296968,0.905511811,3.0232,667.0,51.67832084,0.561,0.2613,0.1331,149.04,93.6,0.3,0.75,YVDD,6.3387,8.7704,11.4309,3.1486,-4.8516,1.7816,12.6832,5.8457
POL11ERV-RT,3.71369195,40.16744308,-0.155166375,0.3949,0.4558,0.2736,0.5572,0.3122,0.7397,0.8252,0.8783,0.7651,1,1.0,5.8588,3.7896,0.314,0.587,0.0193,1.391,0.455,0.5,-0.1552,3.1575,0.6667,1.6556,1,1.0,1.0,1.0,1.0,0.9171,0.7463,0.248,0.9171,0.9116,0.8451,0.6914,0.7431,0.6588,0.5546,Retroviral,571,-1.312026501,7,-0.78526,0.753191489,3.0106,571.0,53.29099825,0.553,0.266,0.1083,152.82,90.3,0.6,0.85,YIDD,2.1608,1.9468,-5.6381,6.0675,-7.3933,-0.2654,9.1363,4.4486
ROSE-CRISPR-RT,8.033197403,43.78721973,-0.152242152,0.2812,0.2226,0.1385,0.03282,0.002112,0.002367,0.001416,6.013e-06,4.76e-07,0,0.0,,,,0.439,0.0314,1.592,0.5,0.583,-0.1522,3.099,,,1,0.0,0.0,0.0,0.0,0.8861,0.74,0.188,0.6718,0.6757,0.5978,0.8,0.4566,0.8861,0.4971,CRISPR-associated,446,-2.08358264,8,1.193858,1.070422535,,446.0,64.50457399,0.577,0.3354,0.0914,118.98,88.7,0.3,0.635,FVDD,0.3916,3.5643,15.5685,7.156,,-4.1083,2.5902,
RSVSB-RT,9.822695732,44.51407348,0.107827476,0.5916,0.4349,0.4196,0.572,0.3278,0.7506,0.8228,0.2873,0.1659,1,1.0,5.973,3.8134,0.2401,0.62,0.0192,1.246,0.435,0.739,0.1078,3.0584,0.5789,0.9211,1,1.0,1.0,1.0,1.0,0.9329,0.7687,0.31,0.9329,0.9295,0.8312,0.6566,0.6596,0.5919,0.3041,Retroviral,626,-2.284695625,-1,-0.799422,0.889795918,2.9589,626.0,55.4114377,0.568,0.2875,0.148,120.89,87.6,0.9,0.831,YMDD,-0.1372,0.2508,13.8122,9.2185,-13.9463,-0.9973,1.8326,4.5595
